
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 1 (OPE) W+T1+P2

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.
  779	    -5.316	    -1.367	     0.382	   -0.0151	    0.0269	    0.0542
  780	    -4.975	    -1.373	     0.467	   -0.0135	    0.0321	    0.0663
  790	    -4.970	    -1.374	     0.468	   -0.0135	    0.0321	    0.0663
  800	    -4.849	    -1.388	     0.493	   -0.0135	    0.0321	    0.0663
  808	    -2.368	    -1.660	     1.028	   -0.0183	    0.0356	    0.0722
  809	    -1.937	    -1.539	     1.124	   -0.0368	    0.0348	    0.0844
  810	    -1.630	    -1.155	     1.108	   -0.0284	    0.0357	    0.0748
  820	    -1.063	    -0.000	     0.744	   -0.0074	    0.0355	    0.0500
  828	    -0.119	     0.207	     0.156	    0.0248	    0.0307	    0.0112
  829	    -0.016	     0.120	     0.061	    0.0226	    0.0106	    0.0012
  830	     0.001	     0.060	     0.005	    0.0015	    0.0019	   -0.0003
  840	     0.000	     0.017	     0.000	    0.0000	    0.0001	   -0.0000
  850	     0.000	     0.000	     0.000	    0.0000	    0.0000	   -0.0000
  860	    -1.073	    -0.000	     0.415	    0.0034	   -0.0027	   -0.0059
  870	    -1.024	    -0.000	     0.067	   -0.0103	    0.0002	   -0.0013
  878	    -1.032	    -0.242	    -0.051	   -0.0183	    0.0009	    0.0002
  879	    -1.039	    -0.361	    -0.043	   -0.0226	    0.0015	    0.0009
  880	    -1.026	    -0.440	     0.035	   -0.0165	    0.0002	    0.0058
  888	    -0.939	    -0.548	     0.252	   -0.0153	    0.0008	    0.0070
  889	    -0.873	    -0.561	     0.307	   -0.0097	    0.0032	    0.0152
  890	    -0.801	    -0.483	     0.300	   -0.0077	    0.0066	    0.0237
  900	    -0.643	    -0.000	     0.163	   -0.0061	    0.0068	    0.0224
  908	    -0.444	     0.518	    -0.006	   -0.0040	    0.0063	    0.0199
  909	    -0.373	     0.589	    -0.023	   -0.0038	    0.0048	    0.0155
  910	    -0.304	     0.578	    -0.020	   -0.0010	    0.0052	    0.0074
  920	    -0.186	     0.436	    -0.010	   -0.0003	    0.0040	    0.0055
  930	    -0.095	     0.284	    -0.008	    0.0000	    0.0027	    0.0038
  940	    -0.088	     0.270	    -0.008	    0.0000	    0.0027	    0.0038
  950	    -0.088	     0.269	    -0.008	    0.0000	    0.0027	    0.0038
  960	    -0.081	     0.255	    -0.008	    0.0000	    0.0027	    0.0037
  970	    -0.017	     0.090	    -0.005	   -0.0005	    0.0013	    0.0022
  980	    -0.006	     0.050	    -0.002	   -0.0007	    0.0008	    0.0018
  990	    -0.003	     0.035	    -0.001	   -0.0006	    0.0006	    0.0014
 1000	    -0.000	     0.012	    -0.000	   -0.0000	    0.0000	    0.0001
 1010	     0.000	    -0.000	     0.000	   -0.0000	    0.0000	    0.0000
 1018	    -3.048	    -0.256	     0.159	   -0.0322	   -0.0106	    0.0126
 1019	    -3.074	    -0.237	     0.149	   -0.0346	   -0.0108	    0.0064
 1020	    -3.094	    -0.223	     0.130	   -0.0364	   -0.0109	   -0.0080
 1030	    -3.095	    -0.223	     0.130	   -0.0364	   -0.0109	   -0.0080
 1033	    -3.109	    -0.208	     0.110	   -0.0364	   -0.0109	   -0.0081
 1036	    -3.177	    -0.136	     0.015	   -0.0362	   -0.0109	   -0.0084
 1040	    -3.191	    -0.121	    -0.004	   -0.0362	   -0.0109	   -0.0085
 1050	    -3.224	    -0.081	    -0.049	   -0.0351	   -0.0108	   -0.0087
 1053	    -3.238	    -0.065	    -0.069	   -0.0351	   -0.0108	   -0.0086
 1056	    -3.252	    -0.048	    -0.089	   -0.0346	   -0.0108	   -0.0077
 1060	    -3.267	    -0.033	    -0.109	   -0.0346	   -0.0108	   -0.0076
 1070	    -3.317	    -0.000	    -0.178	   -0.0330	   -0.0106	    0.0010
 1080	    -3.389	    -0.082	    -0.274	   -0.0306	   -0.0103	    0.0143
 1090	    -3.444	    -0.209	    -0.345	   -0.0288	   -0.0100	    0.0204
 1098	    -3.526	    -0.453	    -0.447	   -0.0261	   -0.0094	    0.0245
 1099	    -3.566	    -0.528	    -0.463	   -0.0216	   -0.0055	    0.0339
 1100	    -3.591	    -0.516	    -0.440	   -0.0152	   -0.0014	    0.0368
 1110	    -3.599	    -0.000	    -0.122	   -0.0028	    0.0009	    0.0384
 1118	    -3.586	    -0.028	    -0.031	    0.0045	    0.0014	    0.0389
 1119	    -3.514	    -0.073	    -0.017	    0.0096	    0.0043	    0.0401
 1120	    -3.350	    -0.116	    -0.032	    0.0044	    0.0055	    0.0424
 1128	    -0.980	    -0.547	    -0.065	   -0.0038	    0.0085	    0.0433
 1129	    -0.799	    -0.517	    -0.033	   -0.0119	    0.0070	    0.0435
 1130	    -0.694	    -0.388	    -0.010	   -0.0078	    0.0067	    0.0376
 1140	    -0.551	    -0.000	    -0.002	   -0.0006	    0.0071	    0.0271
 1148	    -0.084	     0.143	     0.016	    0.0083	    0.0070	    0.0080
 1149	    -0.036	     0.134	     0.012	    0.0055	    0.0033	    0.0073
 1150	    -0.008	     0.106	     0.006	    0.0010	    0.0005	    0.0014
 1160	    -0.000	     0.014	     0.000	    0.0000	    0.0000	    0.0000
 1170	    -0.000	    -0.000	     0.000	    0.0000	    0.0000	    0.0000
 1178	    -2.988	    -0.447	     0.115	   -0.0346	   -0.0104	    0.0121
 1179	    -2.991	    -0.495	     0.089	   -0.0277	   -0.0087	    0.0001
 1180	    -3.003	    -0.489	     0.070	   -0.0243	   -0.0071	   -0.0178
 1190	    -3.004	    -0.488	     0.070	   -0.0243	   -0.0071	   -0.0178
 1193	    -3.018	    -0.456	     0.057	   -0.0243	   -0.0071	   -0.0179
 1196	    -3.086	    -0.297	    -0.005	   -0.0243	   -0.0071	   -0.0182
 1200	    -3.100	    -0.265	    -0.018	   -0.0243	   -0.0071	   -0.0183
 1210	    -3.133	    -0.185	    -0.047	   -0.0239	   -0.0069	   -0.0177
 1213	    -3.147	    -0.152	    -0.059	   -0.0239	   -0.0069	   -0.0176
 1216	    -3.172	    -0.095	    -0.081	   -0.0236	   -0.0067	   -0.0148
 1220	    -3.187	    -0.068	    -0.093	   -0.0236	   -0.0067	   -0.0146
 1230	    -3.237	    -0.000	    -0.136	   -0.0230	   -0.0064	   -0.0021
 1240	    -3.309	    -0.081	    -0.192	   -0.0221	   -0.0059	    0.0166
 1250	    -3.364	    -0.236	    -0.233	   -0.0215	   -0.0056	    0.0259
